== row: pipelined 1:10 (M0 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 3214549 ops/s, p999 783 µs
  rep 26 m3-baseline: 804206 ops/s, p999 1791 µs
  rep 27 m3-baseline: 803954 ops/s, p999 1663 µs
  rep 27 m4: 803790 ops/s, p999 1951 µs
  rep 28 m4: 804956 ops/s, p999 1919 µs
  rep 28 m3-baseline: 808001 ops/s, p999 1855 µs
  rep 29 m3-baseline: 807014 ops/s, p999 1727 µs
  rep 29 m4: 806576 ops/s, p999 1855 µs
  rep 30 m4: 805133 ops/s, p999 1951 µs
  rep 30 m3-baseline: 804011 ops/s, p999 1791 µs
  rep 31 m3-baseline: 803194 ops/s, p999 1823 µs
  rep 31 m4: 805591 ops/s, p999 1855 µs

== row: ttl-heavy 1:1 writes (M1 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 2711941 ops/s, p999 3327 µs
  rep 0 m3-baseline: 2678354 ops/s, p999 4223 µs
  rep 1 m3-baseline: 2701570 ops/s, p999 3071 µs
  rep 1 m4: 2645772 ops/s, p999 4351 µs
  rep 2 m4: 2720730 ops/s, p999 2559 µs
  rep 2 m3-baseline: 2457791 ops/s, p999 4991 µs
  rep 3 m3-baseline: 2692211 ops/s, p999 2879 µs
  rep 3 m4: 2658284 ops/s, p999 4095 µs
  rep 4 m4: 2677190 ops/s, p999 3775 µs
  rep 4 m3-baseline: 2679514 ops/s, p999 4607 µs
  rep 5 m3-baseline: 2723381 ops/s, p999 5887 µs
  rep 5 m4: 2590914 ops/s, p999 6271 µs
  rep 6 m4: 2701644 ops/s, p999 2687 µs
  rep 6 m3-baseline: 2607517 ops/s, p999 5759 µs
  rep 7 m3-baseline: 2704145 ops/s, p999 3583 µs
  rep 7 m4: 2687976 ops/s, p999 4479 µs
  rep 8 m4: 2713876 ops/s, p999 3007 µs
  rep 8 m3-baseline: 2624124 ops/s, p999 4479 µs
  rep 9 m3-baseline: 2740586 ops/s, p999 2687 µs
  rep 9 m4: 2634092 ops/s, p999 4479 µs
  rep 10 m4: 2708542 ops/s, p999 2303 µs
  rep 10 m3-baseline: 2572961 ops/s, p999 5247 µs
  rep 11 m3-baseline: 2630312 ops/s, p999 3007 µs
  rep 11 m4: 2686993 ops/s, p999 4607 µs
  rep 12 m4: 2715429 ops/s, p999 5375 µs
  rep 12 m3-baseline: 2658740 ops/s, p999 4479 µs
  rep 13 m3-baseline: 2705625 ops/s, p999 2943 µs
  rep 13 m4: 2693904 ops/s, p999 4095 µs
  rep 14 m4: 2715223 ops/s, p999 2303 µs
  rep 14 m3-baseline: 2661428 ops/s, p999 4223 µs
  rep 15 m3-baseline: 2712003 ops/s, p999 2815 µs
  rep 15 m4: 2630303 ops/s, p999 4223 µs
  rep 16 m4: 2734786 ops/s, p999 2111 µs
  rep 16 m3-baseline: 2692739 ops/s, p999 3839 µs
  rep 17 m3-baseline: 2711463 ops/s, p999 2815 µs
  rep 17 m4: 2615220 ops/s, p999 4095 µs
  rep 18 m4: 2682886 ops/s, p999 3135 µs
  rep 18 m3-baseline: 2653372 ops/s, p999 4223 µs
  rep 19 m3-baseline: 2727633 ops/s, p999 2367 µs
  rep 19 m4: 2668624 ops/s, p999 4223 µs
  rep 20 m4: 2726799 ops/s, p999 3007 µs
  rep 20 m3-baseline: 2594457 ops/s, p999 4735 µs
  rep 21 m3-baseline: 2709325 ops/s, p999 2495 µs
  rep 21 m4: 2695522 ops/s, p999 4351 µs
  rep 22 m4: 2699722 ops/s, p999 5759 µs
  rep 22 m3-baseline: 2665984 ops/s, p999 4479 µs
  rep 23 m3-baseline: 2705054 ops/s, p999 3647 µs
  rep 23 m4: 2636188 ops/s, p999 4479 µs
  rep 24 m4: 2712680 ops/s, p999 3711 µs
  rep 24 m3-baseline: 2592527 ops/s, p999 4607 µs
  rep 25 m3-baseline: 2707647 ops/s, p999 5119 µs
  rep 25 m4: 2647123 ops/s, p999 5247 µs
  rep 26 m4: 2731230 ops/s, p999 3583 µs
  rep 26 m3-baseline: 2680058 ops/s, p999 4351 µs
  rep 27 m3-baseline: 2737386 ops/s, p999 3647 µs
  rep 27 m4: 2681598 ops/s, p999 4735 µs
  rep 28 m4: 2727028 ops/s, p999 3391 µs
  rep 28 m3-baseline: 2660610 ops/s, p999 4223 µs
  rep 29 m3-baseline: 2712485 ops/s, p999 3263 µs
  rep 29 m4: 2533576 ops/s, p999 11007 µs
  rep 30 m4: 2718759 ops/s, p999 2111 µs
  rep 30 m3-baseline: 2689142 ops/s, p999 4351 µs
  rep 31 m3-baseline: 2763962 ops/s, p999 2431 µs
  rep 31 m4: 2678186 ops/s, p999 4351 µs
