== row: pipelined 1:10 (M0 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 3184014 ops/s, p999 767 µs
  rep 22 m3-baseline: 805476 ops/s, p999 1791 µs
  rep 23 m3-baseline: 806854 ops/s, p999 1759 µs
  rep 23 m4: 803588 ops/s, p999 1855 µs
  rep 24 m4: 803893 ops/s, p999 1695 µs
  rep 24 m3-baseline: 806408 ops/s, p999 1791 µs
  rep 25 m3-baseline: 801086 ops/s, p999 1887 µs
  rep 25 m4: 805015 ops/s, p999 1823 µs
  rep 26 m4: 806071 ops/s, p999 1791 µs
  rep 26 m3-baseline: 805823 ops/s, p999 1823 µs
  rep 27 m3-baseline: 806159 ops/s, p999 1887 µs
  rep 27 m4: 802285 ops/s, p999 1855 µs
  rep 28 m4: 806122 ops/s, p999 1631 µs
  rep 28 m3-baseline: 805271 ops/s, p999 1759 µs
  rep 29 m3-baseline: 805308 ops/s, p999 1887 µs
  rep 29 m4: 806215 ops/s, p999 1727 µs
  rep 30 m4: 806751 ops/s, p999 1727 µs
  rep 30 m3-baseline: 807206 ops/s, p999 1727 µs
  rep 31 m3-baseline: 804816 ops/s, p999 1727 µs
  rep 31 m4: 805423 ops/s, p999 1759 µs

== row: ttl-heavy 1:1 writes (M1 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 2734906 ops/s, p999 2687 µs
  rep 0 m3-baseline: 2686586 ops/s, p999 4223 µs
  rep 1 m3-baseline: 2681580 ops/s, p999 4351 µs
  rep 1 m4: 2652552 ops/s, p999 4095 µs
  rep 2 m4: 2715660 ops/s, p999 4607 µs
  rep 2 m3-baseline: 2664557 ops/s, p999 4991 µs
  rep 3 m3-baseline: 2707191 ops/s, p999 2495 µs
  rep 3 m4: 2626806 ops/s, p999 4095 µs
  rep 4 m4: 2740908 ops/s, p999 3071 µs
  rep 4 m3-baseline: 2649138 ops/s, p999 4223 µs
  rep 5 m3-baseline: 2750964 ops/s, p999 2367 µs
  rep 5 m4: 2666030 ops/s, p999 4351 µs
  rep 6 m4: 2721679 ops/s, p999 2751 µs
  rep 6 m3-baseline: 2662968 ops/s, p999 4863 µs
  rep 7 m3-baseline: 2607477 ops/s, p999 10239 µs
  rep 7 m4: 2528362 ops/s, p999 4479 µs
  rep 8 m4: 2646273 ops/s, p999 3455 µs
  rep 8 m3-baseline: 2606553 ops/s, p999 4351 µs
  rep 9 m3-baseline: 2747254 ops/s, p999 2879 µs
  rep 9 m4: 2630771 ops/s, p999 4351 µs
  rep 10 m4: 2667979 ops/s, p999 4735 µs
  rep 10 m3-baseline: 2561188 ops/s, p999 4607 µs
  rep 11 m3-baseline: 2746725 ops/s, p999 3135 µs
  rep 11 m4: 2655274 ops/s, p999 4991 µs
  rep 12 m4: 2712734 ops/s, p999 4095 µs
  rep 12 m3-baseline: 2620038 ops/s, p999 4607 µs
  rep 13 m3-baseline: 2702603 ops/s, p999 3327 µs
  rep 13 m4: 2671082 ops/s, p999 4863 µs
  rep 14 m4: 2598039 ops/s, p999 2623 µs
  rep 14 m3-baseline: 2676089 ops/s, p999 4863 µs
  rep 15 m3-baseline: 2712455 ops/s, p999 2303 µs
  rep 15 m4: 2580177 ops/s, p999 4479 µs
  rep 16 m4: 2688077 ops/s, p999 2111 µs
  rep 16 m3-baseline: 2635569 ops/s, p999 4607 µs
  rep 17 m3-baseline: 2738586 ops/s, p999 4863 µs
  rep 17 m4: 2671708 ops/s, p999 4351 µs
  rep 18 m4: 2720736 ops/s, p999 2175 µs
  rep 18 m3-baseline: 2598496 ops/s, p999 4479 µs
  rep 19 m3-baseline: 2690741 ops/s, p999 2879 µs
  rep 19 m4: 2634779 ops/s, p999 4991 µs
  rep 20 m4: 2734601 ops/s, p999 2943 µs
  rep 20 m3-baseline: 2671242 ops/s, p999 4735 µs
  rep 21 m3-baseline: 2754026 ops/s, p999 1823 µs
  rep 21 m4: 2594880 ops/s, p999 4479 µs
  rep 22 m4: 2706696 ops/s, p999 11007 µs
  rep 22 m3-baseline: 2678639 ops/s, p999 4031 µs
  rep 23 m3-baseline: 2647879 ops/s, p999 11007 µs
  rep 23 m4: 2667335 ops/s, p999 4607 µs
  rep 24 m4: 2694356 ops/s, p999 3775 µs
  rep 24 m3-baseline: 2635978 ops/s, p999 4095 µs
  rep 25 m3-baseline: 2712399 ops/s, p999 3135 µs
  rep 25 m4: 2635771 ops/s, p999 4223 µs
  rep 26 m4: 2670471 ops/s, p999 2751 µs
  rep 26 m3-baseline: 2667598 ops/s, p999 4351 µs
  rep 27 m3-baseline: 2698495 ops/s, p999 3007 µs
  rep 27 m4: 2507078 ops/s, p999 5247 µs
  rep 28 m4: 2696956 ops/s, p999 3711 µs
  rep 28 m3-baseline: 2668999 ops/s, p999 5119 µs
  rep 29 m3-baseline: 2629776 ops/s, p999 4991 µs
  rep 29 m4: 2673371 ops/s, p999 4095 µs
  rep 30 m4: 2755642 ops/s, p999 3839 µs
  rep 30 m3-baseline: 2690188 ops/s, p999 4479 µs
  rep 31 m3-baseline: 2697337 ops/s, p999 3711 µs
  rep 31 m4: 2645711 ops/s, p999 4479 µs
